exchange,uptake
EX_h2o_e,100
EX_h_e,100
EX_no3_e,100
EX_pi_e,100
EX_so4_e,100
EX_nh4_e,100
EX_mg2_e,100
EX_fe3_e,100
EX_cobalt2_e,100
EX_k_e,100
EX_na1_e,100
EX_hco3_e,100
EX_co2_e,100
EX_photon430_e,1000.0
EX_photon450_e,1000.0
EX_photon470_e,1000.0
EX_photon410_e,1000.0
EX_photon490_e,1000.0
EX_photon510_e,1000.0
EX_photon530_e,1000.0
EX_photon550_e,1000.0
EX_photon570_e,1000.0
EX_photon590_e,1000.0
EX_photon610_e,1000.0
EX_photon630_e,1000.0
EX_photon650_e,1000.0
EX_photon670_e,1000.0
EX_photon690_e,1000.0
